date,text
2026-03-17 10:55:08,"Губернатор Сахалина провел совещание с участием представителей Сахалинэнерго и РусГидро и потребовал разобраться в причинах масштабного отключения света на Сахалине 14 марта #SLEN #HYDR Подобный инцидент уже имел место в декабре прошлого года. Повторение считаю недопустимым, — сказал Валерий Лимаренко."
2026-03-17 10:46:10,"АПРИ приступает к реализации 2-х проектов в Ставропольском крае и Ростовской области с потенциальным суммарным объемом застройки 550 тыс кв м. #APRI Мы видим колоссальный дефицит качественного номерного фонда в Кавминводах на фоне загрузки отелей, в высокий сезон она превышает 90%. Растущий спрос на внутренний туризм и ограниченное предложение со стороны гостиниц открывают для АПРИ уникальное инвестиционное окно. Кроме этого, развитие новых рекреационных проектов в Кавказских Минеральных Водах входит в число приоритетов в рамках Федерального плана комплексного развития городов-курортов региона до 2030 года, - сообщил Павел Крутолапов, гендиректор АПРИ."
2026-03-17 10:34:37,"Кремль может рассчитывать на дальнейшее смягчение санкций со стороны Белого дома, если поставки ближневосточной нефти через пролив не возобновятся в полном объеме — Bloomberg #SNGS #SIBN"
2026-03-17 10:31:03,"Москва загружает нефть в танкеры: за неделю до 15 марта 37 танкеров погрузили 27,79 млн барр российской нефти, неделей ранее - 20,18 млн барр на 27 судах — Bloomberg #ROSN #LKOH"
2026-03-17 10:24:16,В ОАЭ вспыхнуло газовое месторождение из-за ударов Ирана — Bloomberg #GAZP
2026-03-17 10:18:43,"Чистая прибыль Россети Волга по МСФО за 2025 год выросла в 2,78 раза г/г до ₽11,04 млрд, выручка ₽129,25 млрд #MRKV"
2026-03-17 10:13:32,"Россети Волга РСБУ 2025 год: Выручка ₽129,05 млрд Чистая прибыль ₽10,89 млрд #MRKV"
2026-03-17 10:08:44,"Число открытых вакансий в январе-марте 2026 года в большинстве отраслей уменьшилось на 12% г/г, а количество резюме увеличилось на 22% г/г — Forbes со ссылкой на SuperJob #HEAD"
2026-03-17 09:46:12,19 марта 2026 года - ЛУКОЙЛ - СД решит по дивидендам #LKOH
2026-03-17 09:27:12,"БСПБ РСБУ за февраль 2026 года: Чистая прибыль ₽2,4 млрд Чистая прибыль за 2М ₽6,1 млрд Выручка ₽6,6 млрд Выручка за 2М ₽13,5 млрд #BSPB"
2026-03-17 09:02:25,Сеть одежды Modis подала заявление о банкротстве — Ъ #HNFG
2026-03-17 08:39:20,"Розничные продажи крепкого алкоголя в России в феврале снизились на 2,73% г/г и на 11,8% м/м, составив 14,82 млн дал — Ъ #BELU"
2026-03-17 08:06:51,"Ритейлер Светофор сократил число магазинов на 11,6% по итогам 2025 года: сеть теряет позиции на фоне роста конкурентов и онлайн-торговли — Ведомости #MGNT #X5 #LENT"
2026-03-17 07:39:19,"Полюс фиксирует резкий рост себестоимости и ожидает дальнейшее увеличение затрат в 2026 году на 10–50%, до $810–1100 за унцию, из-за роста НДПИ и ухудшения качества добыча — Ъ #PLZL"
2026-03-17 07:05:52,Венгрия обратилась к ЕС с просьбой отменить пошлины на удобрения из РФ и Белоруссии на фоне войны в Иране — Politico #PHOR #AKRN
